Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_scaled,Attrition_encoded,Income_per_Year,Tenure_Ratio
41.0,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,0.2029339412397023,1,665.8888888888889,0.6666666666666666
49.0,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130.0,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,-0.0761196399754813,0,466.3636363636364,0.9090909090909091
37.0,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,-1.0591125564229416,1,261.25,0.0
33.0,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,-0.7942865042616027,0,323.22222222222223,0.8888888888888888
27.0,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,-0.6135322146911651,0,495.42857142857144,0.2857142857142857
32.0,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,-0.7428733879079362,0,340.8888888888889,0.7777777777777778
59.0,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,-0.8715678552586235,0,205.3846153846154,0.07692307692307693
30.0,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,-0.8641307377986591,0,1346.5,0.5
38.0,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,1.3453398536768328,0,866.0,0.8181818181818182
36.0,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,-0.04152087613999504,0,290.94444444444446,0.3888888888888889
35.0,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,-0.9504659709208538,0,346.57142857142856,0.7142857142857143
29.0,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,-0.3791013382357675,0,381.1818181818182,0.8181818181818182
31.0,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,-0.7936397983955189,0,485.1666666666667,0.8333333333333334
34.0,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,-0.8744780316560008,0,665.25,0.5
28.0,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,-1.079160438271541,1,289.7142857142857,0.5714285714285714
29.0,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,1.492142085277868,0,907.2727272727273,0.9090909090909091
32.0,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,-0.6685022133082928,0,412.25,0.75
